"date","np_lpgas_price"
1997-07-11,465
1998-07-17,465
1999-01-14,465
1999-10-27,465
2000-05-28,465
2000-10-14,550
2000-11-16,550
2001-01-17,550
2002-11-23,650
2003-03-25,700
2003-04-20,700
2003-05-08,700
2004-07-19,750
2004-08-12,725
2005-01-10,850
2005-02-12,800
2005-06-21,900
2005-08-18,900
2006-02-17,900
2006-03-03,900
2006-09-26,900
2006-10-31,900
2007-04-10,900
2007-08-05,900
2007-10-25,900
2007-10-25,1100
2007-11-08,1100
2007-12-06,1100
2007-12-26,1100
2008-05-14,1100
2008-06-04,1100
2008-06-09,1200
2008-10-25,1200
2008-11-01,1200
2008-12-03,1200
2008-12-26,1150
2009-02-02,1125
2009-03-03,1125
2009-11-17,1125
2010-01-08,1250
2010-02-06,1250
2010-02-17,1250
2010-03-14,1250
2010-04-22,1250
2010-05-11,1250
2010-07-06,1250
2010-12-06,1325
2010-12-18,1325
2011-03-12,1325
2011-05-07,1325
2011-06-11,1325
2011-07-10,1325
2011-08-26,1325
2011-10-10,1325
2012-01-18,1500
2012-01-26,1415
2012-02-24,1415
2012-03-26,1415
2012-06-19,1415
